TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
2,0.238966092467308,0.3641562461853027,0.7454706430435181,saopaulo,4,True,False,True
3,0.2308550477027893,0.3603983223438263,0.7613763809204102,saopaulo,4,True,False,True
random,0.9416458010673524,0.790824294090271,0.0568865276873111,saopaulo,random,True,True,False
1,0.5282115936279297,0.5457078218460083,0.4147758483886719,london,4,False,True,False
2,0.5746665000915527,0.5749316811561584,0.3904155492782593,london,4,False,True,False
3,0.6648972630500793,0.6159051060676575,0.3536049425601959,london,4,False,True,False
random,0.3918488323688507,0.4612921476364136,0.6065483093261719,hongkong,random,True,False,True
random,0.19371397793293,0.3233613967895508,0.8088961243629456,london,random,False,False,False
1,0.9602323174476624,0.7811439037322998,-0.0543656758964061,london,3,True,True,False
2,0.948937714099884,0.7758398652076721,-0.0003007849154528,london,3,True,True,False
4,0.9997138381004332,0.8126853108406067,0.0384559109807014,london,3,True,True,False
2,0.5062524676322937,0.5261979103088379,0.49237722158432,chicago,1,False,True,False
3,0.5824798941612244,0.5562525987625122,0.4177865386009216,chicago,1,False,True,False
4,0.68560391664505,0.6072484850883484,0.3740881085395813,chicago,1,False,True,False
random,0.2196532040834427,0.348647266626358,0.7798874378204346,saopaulo,random,True,False,False
1,0.1979444026947021,0.3285063505172729,0.7847625613212585,london,4,True,False,True
2,0.2019263803958892,0.3357889354228973,0.788191556930542,london,4,True,False,True
3,0.2227180451154709,0.347280740737915,0.7832663655281067,london,4,True,False,True
2,0.4722634851932525,0.4982728064060211,0.5262158513069153,chicago,1,False,True,True
3,0.5346648097038269,0.5219816565513611,0.4656514525413513,chicago,1,False,True,True
4,0.657351016998291,0.5840176343917847,0.4009180963039398,chicago,1,False,True,True
1,0.6828624606132507,0.6534861326217651,0.2350387573242187,saopaulo,4,False,True,False
2,0.6563290357589722,0.6382917165756226,0.2937455773353576,saopaulo,4,False,True,False
3,0.6044370532035828,0.606342077255249,0.3752136528491974,saopaulo,4,False,True,False
1,0.3677687644958496,0.4500781297683716,0.6340858340263367,hongkong,3,False,False,True
2,0.3581452965736389,0.442573994398117,0.6374222636222839,hongkong,3,False,False,True
4,0.3863151371479034,0.4549635648727417,0.6071569919586182,hongkong,3,False,False,True
1,1.184552550315857,0.8848857283592224,-0.3227013349533081,saopaulo,3,True,True,False
2,1.0212384462356567,0.8204640746116638,-0.0920254215598106,saopaulo,3,True,True,False
4,1.0389846563339231,0.8289542198181152,-0.1682333946228027,saopaulo,3,True,True,False
1,0.2142105847597122,0.3371994495391845,0.7564032077789307,chicago,3,True,False,False
2,0.1856005191802978,0.3117861449718475,0.8151633143424988,chicago,3,True,False,False
4,0.1988127827644348,0.3195295929908752,0.8131770491600037,chicago,3,True,False,False
random,0.1621330827474594,0.2862550020217895,0.8374029397964478,chicago,random,False,False,True
1,0.2068966776132583,0.3293547928333282,0.766646146774292,chicago,4,True,False,True
2,0.1823429763317108,0.3062724173069,0.8185312747955322,chicago,4,True,False,True
3,0.1800366789102554,0.3042222857475281,0.8190941214561462,chicago,4,True,False,True
2,0.3878773152828216,0.4578027725219726,0.6073251962661743,hongkong,1,False,False,False
3,0.4240366816520691,0.4749475717544555,0.5766439437866211,hongkong,1,False,False,False
4,0.4506450593471527,0.4935134053230285,0.5415934920310974,hongkong,1,False,False,False
1,0.9258534908294678,0.7845476269721985,-0.0162049736827611,london,4,True,True,True
2,0.9739338159561156,0.8102777004241943,-0.0273688305169343,london,4,True,True,True
3,1.040274977684021,0.8418000340461731,-0.0118025476112961,london,4,True,True,True
random,0.210552379488945,0.3419807851314544,0.7890231609344482,saopaulo,random,False,False,False
2,0.9469860792160034,0.7821076512336731,-0.0111937457695603,saopaulo,1,True,True,True
3,1.0628076791763306,0.8287312388420105,-0.0987984761595726,saopaulo,1,True,True,True
4,1.3715053796768188,0.9628586769104004,-0.5582950711250305,saopaulo,1,True,True,True
1,0.1735337972640991,0.2984270453453064,0.8027143478393555,chicago,3,False,False,True
2,0.1721540838479995,0.2944174110889435,0.8285936713218689,chicago,3,False,False,True
4,0.1915583908557891,0.3060474693775177,0.8202654123306274,chicago,3,False,False,True
2,0.9960612058639526,0.8041508793830872,-0.0036218895111232,hongkong,1,True,True,True
3,1.0141587257385254,0.8092283606529236,-0.0132982926443219,hongkong,1,True,True,True
4,1.0302238464355469,0.8230987787246704,-0.0553336590528488,hongkong,1,True,True,True
2,0.3716020882129669,0.4478042125701904,0.6237768530845642,hongkong,1,False,False,True
3,0.4045188724994659,0.4617694616317749,0.5961170196533203,hongkong,1,False,False,True
4,0.4262581169605255,0.4771765172481537,0.5665856003761292,hongkong,1,False,False,True
2,0.6606757640838623,0.5979034304618835,0.3004752695560455,london,1,False,True,False
3,0.842538595199585,0.677232563495636,0.1812675595283508,london,1,False,True,False
4,0.9726208448410034,0.7287581562995911,0.0671777427196502,london,1,False,True,False
1,0.9136016964912416,0.8113492131233215,-0.0390995405614376,chicago,2,True,True,True
3,1.0002522468566897,0.8620379567146301,-0.0031259257812052,chicago,2,True,True,True
4,1.103000521659851,0.9021387696266174,-0.0144560141488909,chicago,2,True,True,True
2,0.4089120626449585,0.4736270308494568,0.5860458016395569,hongkong,1,True,False,False
3,0.4440328776836395,0.4901312589645386,0.5566508769989014,hongkong,1,True,False,False
4,0.4854776263236999,0.513580858707428,0.5058942437171936,hongkong,1,True,False,False
2,0.7724648118019104,0.6758167147636414,0.2209789454936981,hongkong,1,False,True,True
3,0.8319183588027954,0.7005340456962585,0.1687980741262436,hongkong,1,False,True,True
4,0.829111635684967,0.6996678709983826,0.1515383720397949,hongkong,1,False,True,True
2,0.1861562132835388,0.3146838843822479,0.8147218227386475,chicago,1,True,False,False
3,0.1880733221769333,0.3168144822120666,0.8111344575881958,chicago,1,True,False,False
4,0.2081526666879654,0.3301180005073547,0.804398775100708,chicago,1,True,False,False
2,0.2022073417901992,0.332925796508789,0.7877727150917053,london,1,True,False,True
3,0.2313106954097747,0.3532591462135315,0.7749035954475403,london,1,True,False,True
